,date,hour,source,target
90,2004-04-22,3,67,32
91,2004-04-22,3,67,8
92,2004-04-22,3,69,67
93,2004-04-22,4,70,51
94,2004-04-22,4,44,50
95,2004-04-22,4,67,32
96,2004-04-22,4,71,58
97,2004-04-22,4,71,72
98,2004-04-22,4,51,58
99,2004-04-22,4,72,71
100,2004-04-22,4,73,74
101,2004-04-22,4,74,73
102,2004-04-22,4,73,74
103,2004-04-22,4,74,73
104,2004-04-22,5,34,58
105,2004-04-22,5,44,75
106,2004-04-22,5,44,75
107,2004-04-22,5,9,58
108,2004-04-22,5,73,74
109,2004-04-22,5,9,76
110,2004-04-22,5,32,77
111,2004-04-22,5,41,76
112,2004-04-22,5,41,78
113,2004-04-22,5,79,48
114,2004-04-22,5,79,63
115,2004-04-22,5,41,80
116,2004-04-22,5,79,58
117,2004-04-22,5,41,81
118,2004-04-22,5,79,70
119,2004-04-22,5,19,82
120,2004-04-22,5,19,72
121,2004-04-22,5,12,32
122,2004-04-22,6,19,64
123,2004-04-22,6,19,58
124,2004-04-22,6,19,58
125,2004-04-22,6,19,58
126,2004-04-22,6,19,52
127,2004-04-22,6,83,59
128,2004-04-22,6,51,70
129,2004-04-22,6,38,58
130,2004-04-22,6,41,58
131,2004-04-22,6,63,79
132,2004-04-22,6,41,63
133,2004-04-22,6,67,59
134,2004-04-22,6,41,63
135,2004-04-22,6,41,58
136,2004-04-22,7,44,84
137,2004-04-22,7,19,85
138,2004-04-22,7,19,72
139,2004-04-22,7,3,84
140,2004-04-22,7,19,8
141,2004-04-22,7,19,58
142,2004-04-22,7,84,86
143,2004-04-22,7,83,58
144,2004-04-22,7,36,60
145,2004-04-22,7,86,48
146,2004-04-22,7,87,63
147,2004-04-22,7,36,88
148,2004-04-22,8,87,8
149,2004-04-22,8,36,89
150,2004-04-22,8,90,56
151,2004-04-22,8,36,90
152,2004-04-22,8,36,84
153,2004-04-22,8,91,92
154,2004-04-22,8,36,93
155,2004-04-22,8,91,92
156,2004-04-22,8,36,90
157,2004-04-22,8,91,92
158,2004-04-22,8,36,60
159,2004-04-22,8,36,84
160,2004-04-22,8,51,58
161,2004-04-22,8,94,84
162,2004-04-22,8,36,84
163,2004-04-22,8,94,84
164,2004-04-22,8,94,84
165,2004-04-22,8,69,84
166,2004-04-22,8,69,95
167,2004-04-22,8,87,8
168,2004-04-22,9,3,84
169,2004-04-22,9,3,84
170,2004-04-22,9,48,86
171,2004-04-22,9,84,8
172,2004-04-22,9,91,81
173,2004-04-22,9,96,88
174,2004-04-22,10,8,84
175,2004-04-22,10,84,8
176,2004-04-22,10,91,47
177,2004-04-22,10,97,98
178,2004-04-22,10,98,97
179,2004-04-22,10,97,98
180,2004-04-22,10,48,97
181,2004-04-22,10,99,8
182,2004-04-22,10,99,8
183,2004-04-22,10,97,48
184,2004-04-22,10,100,101
185,2004-04-22,10,102,97
186,2004-04-22,11,97,48
187,2004-04-22,11,97,102
188,2004-04-22,11,101,100
189,2004-04-22,11,48,58
190,2004-04-22,11,97,48
191,2004-04-22,11,103,72
192,2004-04-22,12,103,58
193,2004-04-22,12,104,59
194,2004-04-22,12,104,59
195,2004-04-22,13,103,72
196,2004-04-22,17,105,56
197,2004-04-22,17,106,72
198,2004-04-22,17,105,61
199,2004-04-22,17,105,8
200,2004-04-22,17,105,33
201,2004-04-22,17,105,107
202,2004-04-22,17,105,81
203,2004-04-22,17,44,102
204,2004-04-22,18,36,105
205,2004-04-22,18,36,104
206,2004-04-22,18,34,108
207,2004-04-22,19,34,109
208,2004-04-22,19,36,110
209,2004-04-22,19,111,112
210,2004-04-22,19,34,58
211,2004-04-22,19,36,113
212,2004-04-22,19,36,109
213,2004-04-22,19,79,109
214,2004-04-22,19,114,105
215,2004-04-22,19,101,115
216,2004-04-22,20,56,90
217,2004-04-22,20,56,105
218,2004-04-22,20,56,68
219,2004-04-22,20,29,58
220,2004-04-22,20,87,58
221,2004-04-22,20,44,116
222,2004-04-22,20,44,117
223,2004-04-22,20,44,117
224,2004-04-22,21,44,79
225,2004-04-22,21,80,58
226,2004-04-22,21,96,32
227,2004-04-22,21,118,100
228,2004-04-22,21,119,120
229,2004-04-22,21,119,120
230,2004-04-22,21,120,119
231,2004-04-22,21,120,75
232,2004-04-22,21,119,120
233,2004-04-22,21,120,119
234,2004-04-22,21,119,58
235,2004-04-22,22,74,73
236,2004-04-22,22,118,120
237,2004-04-22,22,121,108
238,2004-04-22,22,72,106
239,2004-04-22,22,44,92
240,2004-04-22,22,26,122
241,2004-04-22,23,44,79
242,2004-04-22,23,1,123
243,2004-04-22,23,96,124
244,2004-04-22,23,125,126
245,2004-04-23,0,36,104
246,2004-04-23,0,44,79
247,2004-04-23,0,44,79
248,2004-04-23,0,36,124
249,2004-04-23,0,36,127
250,2004-04-23,0,36,128
251,2004-04-23,0,44,79
252,2004-04-23,1,44,129
253,2004-04-23,1,44,116
254,2004-04-23,1,9,120
255,2004-04-23,1,79,58
256,2004-04-23,1,36,109
257,2004-04-23,1,124,109
258,2004-04-23,1,36,109
259,2004-04-23,1,124,61
260,2004-04-23,1,124,72
261,2004-04-23,1,36,109
262,2004-04-23,1,36,112
263,2004-04-23,1,124,85
264,2004-04-23,2,85,124
265,2004-04-23,2,32,130
266,2004-04-23,2,36,112
267,2004-04-23,2,124,85
268,2004-04-23,2,72,124
269,2004-04-23,2,124,8
270,2004-04-23,2,131,30
271,2004-04-23,2,99,126
272,2004-04-23,2,103,72
273,2004-04-23,2,103,72
274,2004-04-23,2,103,63
275,2004-04-23,2,103,117
276,2004-04-23,3,103,72
277,2004-04-23,3,131,30
278,2004-04-23,3,69,95
279,2004-04-23,3,69,124
280,2004-04-23,3,69,79
281,2004-04-23,3,132,30
282,2004-04-23,3,36,99
283,2004-04-23,3,36,133
284,2004-04-23,3,36,60
285,2004-04-23,4,36,134
286,2004-04-23,4,36,133
287,2004-04-23,4,36,81
288,2004-04-23,4,103,72
289,2004-04-23,4,103,135
290,2004-04-23,4,133,135
291,2004-04-23,4,135,133
292,2004-04-23,4,36,133
293,2004-04-23,4,103,135
294,2004-04-23,4,19,52
295,2004-04-23,4,133,135
296,2004-04-23,4,103,135
297,2004-04-23,4,103,135
298,2004-04-23,4,135,133
299,2004-04-23,4,133,135
300,2004-04-23,4,36,133
301,2004-04-23,4,36,133
302,2004-04-23,4,36,133
303,2004-04-23,5,9,109
304,2004-04-23,5,9,109
305,2004-04-23,5,62,136
306,2004-04-23,6,96,32
307,2004-04-23,6,137,138
308,2004-04-23,6,96,137
309,2004-04-23,6,19,120
310,2004-04-23,6,44,90
311,2004-04-23,6,96,137
312,2004-04-23,6,137,138
313,2004-04-23,6,19,139
314,2004-04-23,6,44,60
315,2004-04-23,6,44,88
316,2004-04-23,6,44,102
317,2004-04-23,6,44,90
318,2004-04-23,6,19,111
319,2004-04-23,6,44,90
320,2004-04-23,6,9,32
321,2004-04-23,6,44,90
322,2004-04-23,6,44,90
323,2004-04-23,6,103,63
324,2004-04-23,6,103,72
325,2004-04-23,6,38,86
326,2004-04-23,6,140,105
327,2004-04-23,7,103,72
328,2004-04-23,7,38,86
329,2004-04-23,7,38,101
330,2004-04-23,7,38,101
331,2004-04-23,7,38,101
332,2004-04-23,7,103,101
333,2004-04-23,7,38,101
334,2004-04-23,7,103,101
335,2004-04-23,7,38,61
336,2004-04-23,7,75,120
337,2004-04-23,7,38,81
338,2004-04-23,7,44,141
339,2004-04-23,7,44,141
340,2004-04-23,8,44,74
341,2004-04-23,8,44,127
342,2004-04-23,8,124,135
343,2004-04-23,8,140,124
344,2004-04-23,8,19,82
345,2004-04-23,8,19,82
346,2004-04-23,8,19,82
347,2004-04-23,9,105,56
348,2004-04-23,9,19,82
349,2004-04-23,9,124,135
350,2004-04-23,9,105,58
351,2004-04-23,9,105,63
352,2004-04-23,9,19,82
353,2004-04-23,9,105,61
354,2004-04-23,9,105,135
355,2004-04-23,9,124,135
356,2004-04-23,9,71,72
357,2004-04-23,9,135,124
358,2004-04-23,9,9,32
359,2004-04-23,9,63,105
360,2004-04-23,9,72,71
361,2004-04-23,9,142,58
362,2004-04-23,9,124,135
363,2004-04-23,9,124,135
364,2004-04-23,9,143,32
365,2004-04-23,9,144,99
366,2004-04-23,9,144,105
367,2004-04-23,9,144,121
368,2004-04-23,10,9,109
369,2004-04-23,10,103,109
370,2004-04-23,10,103,63
371,2004-04-23,10,103,63
372,2004-04-23,10,103,109
373,2004-04-23,10,48,81
374,2004-04-23,10,95,81
375,2004-04-23,10,145,48
376,2004-04-23,10,95,63
377,2004-04-23,10,145,95
378,2004-04-23,10,95,109
379,2004-04-23,10,145,95
380,2004-04-23,10,145,48
381,2004-04-23,10,145,95
382,2004-04-23,10,145,48
383,2004-04-23,10,145,48
384,2004-04-23,10,95,109
385,2004-04-23,11,96,48
386,2004-04-23,11,95,109
387,2004-04-23,11,96,95
388,2004-04-23,11,96,95
389,2004-04-23,11,96,48
390,2004-04-23,11,96,95
391,2004-04-23,11,105,144
392,2004-04-23,11,105,63
393,2004-04-23,11,6,146
394,2004-04-23,17,44,60
395,2004-04-23,17,44,105
396,2004-04-23,17,63,95
397,2004-04-23,18,44,32
398,2004-04-23,18,114,105
399,2004-04-23,18,34,109
400,2004-04-23,18,36,105
401,2004-04-23,18,36,109
402,2004-04-23,18,36,147
403,2004-04-23,19,44,32
404,2004-04-23,19,19,120
405,2004-04-23,19,9,136
406,2004-04-23,19,9,148
407,2004-04-23,19,9,149
408,2004-04-23,19,9,150
409,2004-04-23,19,9,151
410,2004-04-23,19,9,152
411,2004-04-23,19,9,153
412,2004-04-23,19,9,58
413,2004-04-23,19,9,58
414,2004-04-23,19,9,135
415,2004-04-23,19,9,22
416,2004-04-23,19,9,8
417,2004-04-23,19,9,154
418,2004-04-23,19,9,121
419,2004-04-23,19,1,135
420,2004-04-23,20,3,155
421,2004-04-23,20,36,109
422,2004-04-23,20,3,155
423,2004-04-23,20,30,132
424,2004-04-23,20,3,58
425,2004-04-23,20,68,56
426,2004-04-23,21,36,156
427,2004-04-23,21,131,30
428,2004-04-23,22,101,51
429,2004-04-23,22,101,34
430,2004-04-23,22,9,8
431,2004-04-23,22,36,73
432,2004-04-23,22,96,95
433,2004-04-23,23,9,76
434,2004-04-23,23,9,8
435,2004-04-23,23,9,157
436,2004-04-23,23,19,158
437,2004-04-23,23,9,58
438,2004-04-23,23,9,32
439,2004-04-24,0,44,129
440,2004-04-24,0,105,135
441,2004-04-24,0,105,129
442,2004-04-24,1,44,129
443,2004-04-24,1,44,129
444,2004-04-24,1,44,129
445,2004-04-24,1,51,101
446,2004-04-24,1,1,159
447,2004-04-24,1,44,74
448,2004-04-24,1,44,129
449,2004-04-24,2,160,72
450,2004-04-24,2,129,8
451,2004-04-24,2,36,147
452,2004-04-24,2,36,109
453,2004-04-24,2,36,105
454,2004-04-24,2,36,129
455,2004-04-24,2,9,8
456,2004-04-24,3,34,101
457,2004-04-24,3,161,162
458,2004-04-24,4,163,72
459,2004-04-24,4,32,164
460,2004-04-24,4,58,8
461,2004-04-24,4,32,58
462,2004-04-24,4,41,76
463,2004-04-24,4,41,120
464,2004-04-24,4,41,132
465,2004-04-24,4,41,165
466,2004-04-24,4,41,166
467,2004-04-24,4,41,157
468,2004-04-24,4,41,167
469,2004-04-24,4,41,168
470,2004-04-24,4,41,169
471,2004-04-24,4,41,134
472,2004-04-24,4,56,68
473,2004-04-24,4,41,56
474,2004-04-24,5,56,154
475,2004-04-24,5,56,170
476,2004-04-24,5,56,171
477,2004-04-24,5,56,172
478,2004-04-24,5,103,101
479,2004-04-24,5,51,157
480,2004-04-24,5,32,130
481,2004-04-24,5,8,58
482,2004-04-24,5,8,164
483,2004-04-24,5,103,63
484,2004-04-24,5,103,173
485,2004-04-24,5,67,154
486,2004-04-24,5,32,26
487,2004-04-24,6,96,163
488,2004-04-24,6,9,58
489,2004-04-24,6,41,56
490,2004-04-24,6,9,20
491,2004-04-24,6,9,165
492,2004-04-24,6,9,61
493,2004-04-24,6,103,109
494,2004-04-24,6,32,155
495,2004-04-24,6,32,109
496,2004-04-24,6,32,174
497,2004-04-24,6,175,50
498,2004-04-24,6,103,85
499,2004-04-24,6,124,109
500,2004-04-24,7,164,8
501,2004-04-24,7,103,63
502,2004-04-24,7,38,128
503,2004-04-24,7,103,63
504,2004-04-24,7,103,63
505,2004-04-24,7,19,109
506,2004-04-24,7,103,63
507,2004-04-24,7,103,63
508,2004-04-24,7,161,164
509,2004-04-24,7,161,164
510,2004-04-24,7,38,109
511,2004-04-24,7,41,63
512,2004-04-24,7,103,63
513,2004-04-24,7,176,63
514,2004-04-24,7,41,63
515,2004-04-24,7,176,63
516,2004-04-24,7,41,63
517,2004-04-24,7,161,63
518,2004-04-24,7,103,63
519,2004-04-24,7,41,63
520,2004-04-24,7,176,63
521,2004-04-24,7,41,63
522,2004-04-24,7,161,63
523,2004-04-24,7,103,63
524,2004-04-24,7,32,164
525,2004-04-24,7,176,63
526,2004-04-24,7,41,63
527,2004-04-24,7,176,63
528,2004-04-24,7,41,63
529,2004-04-24,7,161,63
530,2004-04-24,7,103,63
531,2004-04-24,7,41,177
532,2004-04-24,7,41,177
533,2004-04-24,7,164,178
534,2004-04-24,7,164,177
535,2004-04-24,7,32,175
536,2004-04-24,7,32,177
537,2004-04-24,7,176,63
538,2004-04-24,7,164,179
539,2004-04-24,7,41,63
540,2004-04-24,7,32,179
541,2004-04-24,7,41,63
542,2004-04-24,7,41,63
543,2004-04-24,7,41,63
544,2004-04-24,7,41,63
545,2004-04-24,7,161,63
546,2004-04-24,7,96,164
547,2004-04-24,7,41,63
548,2004-04-24,7,41,177
549,2004-04-24,7,41,177
550,2004-04-24,7,41,63
551,2004-04-24,7,41,177
552,2004-04-24,7,41,63
553,2004-04-24,7,161,63
554,2004-04-24,7,32,177
555,2004-04-24,7,41,177
556,2004-04-24,7,32,177
557,2004-04-24,7,41,177
558,2004-04-24,7,41,63
559,2004-04-24,7,41,180
560,2004-04-24,7,32,177
561,2004-04-24,7,41,63
562,2004-04-24,7,161,63
563,2004-04-24,7,41,177
564,2004-04-24,7,41,180
565,2004-04-24,7,177,32
566,2004-04-24,7,41,63
567,2004-04-24,7,41,177
568,2004-04-24,7,180,177
569,2004-04-24,7,180,177
570,2004-04-24,7,180,181
571,2004-04-24,7,41,177
572,2004-04-24,7,180,182
573,2004-04-24,7,41,180
574,2004-04-24,7,41,90
575,2004-04-24,7,41,63
576,2004-04-24,7,32,177
577,2004-04-24,7,41,180
578,2004-04-24,7,41,63
579,2004-04-24,7,41,177
580,2004-04-24,7,177,180
581,2004-04-24,8,177,180
582,2004-04-24,8,177,32
583,2004-04-24,8,41,180
584,2004-04-24,8,41,177
585,2004-04-24,8,41,180
586,2004-04-24,8,32,177
587,2004-04-24,8,41,63
588,2004-04-24,8,183,184
589,2004-04-24,8,41,63
590,2004-04-24,8,177,32
591,2004-04-24,8,32,177
592,2004-04-24,8,41,177
593,2004-04-24,8,177,32
594,2004-04-24,8,175,32
595,2004-04-24,8,32,177
596,2004-04-24,8,32,175
597,2004-04-24,8,41,168
598,2004-04-24,8,175,32
599,2004-04-24,8,41,168
600,2004-04-24,8,41,177
601,2004-04-24,8,177,32
602,2004-04-24,8,63,174
603,2004-04-24,8,174,63
604,2004-04-24,8,63,174
605,2004-04-24,8,174,63
606,2004-04-24,8,41,168
607,2004-04-24,8,41,177
608,2004-04-24,8,32,175
609,2004-04-24,8,63,174
610,2004-04-24,8,174,63
611,2004-04-24,8,41,168
612,2004-04-24,8,9,32
613,2004-04-24,8,41,177
614,2004-04-24,8,63,174
615,2004-04-24,8,32,177
616,2004-04-24,8,175,32
617,2004-04-24,8,32,175
618,2004-04-24,8,41,168
619,2004-04-24,8,41,177
620,2004-04-24,8,41,168
621,2004-04-24,8,41,168
622,2004-04-24,8,63,155
623,2004-04-24,8,174,63
624,2004-04-24,8,41,177
625,2004-04-24,8,177,32
626,2004-04-24,8,41,168
627,2004-04-24,8,175,32
628,2004-04-24,8,63,174
629,2004-04-24,8,174,63
630,2004-04-24,8,63,174
631,2004-04-24,8,41,168
632,2004-04-24,8,41,177
633,2004-04-24,8,41,177
634,2004-04-24,8,32,175
635,2004-04-24,8,41,177
636,2004-04-24,8,175,32
637,2004-04-24,8,175,32
638,2004-04-24,8,32,175
639,2004-04-24,8,41,177
640,2004-04-24,8,41,168
641,2004-04-24,8,174,63
642,2004-04-24,8,63,174
643,2004-04-24,8,41,168
644,2004-04-24,8,41,168
645,2004-04-24,8,41,177
646,2004-04-24,8,41,168
647,2004-04-24,8,41,177
648,2004-04-24,8,174,63
649,2004-04-24,8,63,174
650,2004-04-24,8,41,168
651,2004-04-24,8,41,177
652,2004-04-24,8,41,177
653,2004-04-24,8,41,177
654,2004-04-24,8,41,177
655,2004-04-24,8,9,32
656,2004-04-24,8,41,177
657,2004-04-24,8,41,185
658,2004-04-24,8,41,168
659,2004-04-24,9,185,147
660,2004-04-24,9,185,32
661,2004-04-24,9,41,185
662,2004-04-24,9,41,177
663,2004-04-24,9,32,185
664,2004-04-24,9,186,185
665,2004-04-24,9,140,185
666,2004-04-24,9,155,32
667,2004-04-24,9,32,155
668,2004-04-24,9,185,186
669,2004-04-24,9,155,63
670,2004-04-24,9,41,177
671,2004-04-24,9,103,177
672,2004-04-24,9,187,186
673,2004-04-24,9,185,97
674,2004-04-24,9,103,97
675,2004-04-24,9,187,186
676,2004-04-24,9,41,185
677,2004-04-24,9,41,185
678,2004-04-24,9,41,186
679,2004-04-24,9,41,185
680,2004-04-24,9,41,186
681,2004-04-24,9,185,63
682,2004-04-24,9,41,168
683,2004-04-24,9,187,186
684,2004-04-24,9,63,155
685,2004-04-24,9,63,185
686,2004-04-24,9,103,58
687,2004-04-24,9,103,63
688,2004-04-24,9,187,186
689,2004-04-24,9,103,188
690,2004-04-24,9,189,175
691,2004-04-24,9,189,175
692,2004-04-24,9,140,185
693,2004-04-24,9,187,186
694,2004-04-24,9,185,109
695,2004-04-24,9,140,185
696,2004-04-24,9,189,8
697,2004-04-24,9,102,97
698,2004-04-24,9,140,185
699,2004-04-24,9,41,86
700,2004-04-24,10,41,188
701,2004-04-24,10,101,100
702,2004-04-24,10,101,190
703,2004-04-24,10,191,175
704,2004-04-24,10,101,190
705,2004-04-24,10,101,190
706,2004-04-24,10,101,190
707,2004-04-24,10,101,190
708,2004-04-24,10,103,192
709,2004-04-24,10,101,190
710,2004-04-24,10,101,190
711,2004-04-24,10,101,190
712,2004-04-24,10,101,190
713,2004-04-24,10,101,190
714,2004-04-24,10,101,190
715,2004-04-24,10,101,190
716,2004-04-24,10,101,190
717,2004-04-24,10,193,149
718,2004-04-24,10,101,100
719,2004-04-24,10,193,190
720,2004-04-24,10,191,78
721,2004-04-24,10,101,190
722,2004-04-24,10,101,190
723,2004-04-24,10,190,109
724,2004-04-24,10,101,190
725,2004-04-24,10,193,190
726,2004-04-24,10,109,124
727,2004-04-24,10,103,109
728,2004-04-24,10,103,190
729,2004-04-24,10,103,109
730,2004-04-24,10,103,109
731,2004-04-24,10,41,192
732,2004-04-24,11,194,149
733,2004-04-24,11,194,195
734,2004-04-24,11,176,20
735,2004-04-24,11,176,61
736,2004-04-24,11,176,149
737,2004-04-24,11,176,120
738,2004-04-24,11,176,132
739,2004-04-24,11,176,86
740,2004-04-24,11,176,97
741,2004-04-24,11,176,72
742,2004-04-24,11,176,58
743,2004-04-24,11,176,8
744,2004-04-24,12,176,196
745,2004-04-24,12,176,197
746,2004-04-24,12,176,198
747,2004-04-24,12,176,199
748,2004-04-24,12,176,200
749,2004-04-24,12,176,190
750,2004-04-24,12,176,192
751,2004-04-24,12,176,201
752,2004-04-24,12,176,188
753,2004-04-24,12,176,202
754,2004-04-24,12,176,185
755,2004-04-24,12,176,203
756,2004-04-24,12,176,180
757,2004-04-24,12,176,181
758,2004-04-24,12,176,177
759,2004-04-24,12,176,184
760,2004-04-24,12,176,175
761,2004-04-24,12,176,166
762,2004-04-24,13,204,205
763,2004-04-24,13,204,104
764,2004-04-24,13,204,184
765,2004-04-24,13,189,144
766,2004-04-24,18,3,185
767,2004-04-24,19,3,32
768,2004-04-24,19,199,58
769,2004-04-24,19,63,185
770,2004-04-24,19,63,199
771,2004-04-24,19,63,184
772,2004-04-24,19,199,101
773,2004-04-24,19,194,199
774,2004-04-24,19,194,206
775,2004-04-24,19,194,207
776,2004-04-24,19,204,123
777,2004-04-24,19,121,191
778,2004-04-24,19,175,191
779,2004-04-24,19,204,129
780,2004-04-24,19,63,199
781,2004-04-24,19,101,184
782,2004-04-24,19,101,208
783,2004-04-24,19,63,46
784,2004-04-24,20,63,199
785,2004-04-24,20,101,88
786,2004-04-24,20,191,121
787,2004-04-24,20,191,175
788,2004-04-24,20,103,177
789,2004-04-24,20,199,20
790,2004-04-24,20,184,101
791,2004-04-24,20,103,132
792,2004-04-24,20,199,209
793,2004-04-24,20,101,184
794,2004-04-24,20,36,105
795,2004-04-24,20,103,210
796,2004-04-24,20,36,209
797,2004-04-24,21,184,101
798,2004-04-24,21,209,199
799,2004-04-24,21,199,209
800,2004-04-24,21,199,210
801,2004-04-24,21,101,184
802,2004-04-24,21,184,101
803,2004-04-24,22,176,101
804,2004-04-24,22,68,101
805,2004-04-24,22,32,198
806,2004-04-24,22,211,101
807,2004-04-24,22,212,209
808,2004-04-24,22,211,213
809,2004-04-24,22,211,93
810,2004-04-24,22,211,85
811,2004-04-24,22,189,199
812,2004-04-24,23,214,215
813,2004-04-24,23,103,109
814,2004-04-24,23,103,215
815,2004-04-24,23,103,82
816,2004-04-24,23,44,214
817,2004-04-24,23,103,215
818,2004-04-24,23,63,199
819,2004-04-24,23,63,199
820,2004-04-24,23,103,215
821,2004-04-24,23,103,215
822,2004-04-24,23,103,168
823,2004-04-24,23,214,109
824,2004-04-24,23,215,67
825,2004-04-24,23,103,215
826,2004-04-24,23,214,215
827,2004-04-24,23,41,215
828,2004-04-24,23,41,216
829,2004-04-24,23,103,127
830,2004-04-24,23,215,62
831,2004-04-24,23,214,109
832,2004-04-24,23,176,217
833,2004-04-24,23,176,216
834,2004-04-24,23,176,218
835,2004-04-24,23,103,109
836,2004-04-24,23,219,124
837,2004-04-24,23,19,109
838,2004-04-24,23,63,127
839,2004-04-24,23,88,101
840,2004-04-24,23,103,168
841,2004-04-24,23,103,56
842,2004-04-24,23,63,127
843,2004-04-25,0,103,56
844,2004-04-25,0,214,56
845,2004-04-25,0,214,56
846,2004-04-25,0,63,127
847,2004-04-25,0,51,215
848,2004-04-25,0,19,175
849,2004-04-25,0,19,109
850,2004-04-25,0,44,214
851,2004-04-25,0,215,51
852,2004-04-25,0,44,214
853,2004-04-25,0,19,215
854,2004-04-25,0,19,215
855,2004-04-25,0,103,175
856,2004-04-25,0,44,214
857,2004-04-25,0,19,215
858,2004-04-25,0,103,175
859,2004-04-25,0,214,175
860,2004-04-25,0,51,215
861,2004-04-25,0,19,215
862,2004-04-25,0,214,215
863,2004-04-25,0,215,51
864,2004-04-25,0,19,215
865,2004-04-25,0,96,95
866,2004-04-25,0,96,32
867,2004-04-25,0,19,215
868,2004-04-25,0,96,164
869,2004-04-25,0,103,215
870,2004-04-25,0,103,215
871,2004-04-25,0,19,215
872,2004-04-25,0,144,185
873,2004-04-25,0,103,168
874,2004-04-25,0,220,214
875,2004-04-25,0,220,32
876,2004-04-25,0,19,215
877,2004-04-25,0,144,32
878,2004-04-25,1,103,175
879,2004-04-25,1,103,175
880,2004-04-25,1,175,214
881,2004-04-25,1,103,175
882,2004-04-25,1,103,175
883,2004-04-25,1,103,175
884,2004-04-25,1,176,221
885,2004-04-25,1,103,98
886,2004-04-25,1,3,32
887,2004-04-25,1,222,120
888,2004-04-25,1,41,222
889,2004-04-25,1,41,222
890,2004-04-25,1,41,223
891,2004-04-25,1,214,175
892,2004-04-25,1,41,97
893,2004-04-25,1,41,134
894,2004-04-25,2,51,215
895,2004-04-25,2,36,222
896,2004-04-25,2,36,221
897,2004-04-25,2,212,66
898,2004-04-25,2,96,224
899,2004-04-25,2,175,214
900,2004-04-25,2,214,175
901,2004-04-25,2,225,223
902,2004-04-25,2,36,221
903,2004-04-25,2,36,214
904,2004-04-25,2,176,223
905,2004-04-25,2,176,226
906,2004-04-25,2,221,161
907,2004-04-25,2,36,221
908,2004-04-25,2,44,226
909,2004-04-25,2,221,161
910,2004-04-25,2,36,221
911,2004-04-25,2,221,161
912,2004-04-25,2,56,214
913,2004-04-25,2,221,161
914,2004-04-25,2,221,161
915,2004-04-25,2,221,161
916,2004-04-25,2,161,221
917,2004-04-25,2,36,221
918,2004-04-25,2,36,214
919,2004-04-25,3,221,161
920,2004-04-25,3,204,221
921,2004-04-25,3,227,26
922,2004-04-25,3,211,228
923,2004-04-25,3,214,101
924,2004-04-25,3,229,230
925,2004-04-25,3,220,214
926,2004-04-25,3,96,231
927,2004-04-25,3,96,232
928,2004-04-25,3,103,221
929,2004-04-25,4,103,20
930,2004-04-25,4,103,86
931,2004-04-25,4,220,214
